Handle,Title,"Option1 Value","Option2 Value","Option3 Value",SKU,ID,Vendor,Type,Published,"global[""description_tag""]:string","global[""title_tag""]:string","custom_fields[""roast_level""]:string","custom_fields[""grind""]:string","custom_fields[""region""]:string","custom_fields[""cup""]:string","custom_fields[""origin""]:string","custom_fields[""roaster_ship_day""]:string","custom_fields[""roaster_page""]:string","mc-facebook[""google_product_category""]:string","mc-facebook[""condition""]:string","custom_fields[""country""]:string","custom_fields[""certifications""]:list.single_line_text_field","govalo[""giftable_product""]:single_line_text_field","custom_fields[""growing_altitude""]:string","custom_fields[""variety""]:string","global[""harmonized_system_code""]:string","govalo[""bold""]:single_line_text_field","govalo[""giftCard""]:boolean","seo[""hidden""]:number_integer","govalo[""boldSourceId""]:single_line_text_field","mm-google-shopping[""google_product_category""]:string"
savorista-ethiopian-ceremony,,"Default Title",,,sw0063,,,,,,,,,,,,,,,,,,,,,,,,,,
three-keys-coffee-peru-montreux,Montreux,,,,,6661843714218,"Three Keys Coffee","12 oz. bag",true,,,Medium,"Whole Bean","Veracruz, Antigua, Metapan","Almond, molasses & coffee blossom ","El Salvador, Guatemala, Mexico","Tuesday & Saturday",/pages/three-keys-coffee,1868,new,,[],,"1400–1800 MASL","Bourbon, Pacamara, Pacas, Typica",,,,,,
three-keys-coffee-peru-montreux,,"Default Title",,,sw0064,,,,,,,,,,,,,,,,,,,,,,,,,,
allegro-coffee-organic-espresso-bel-canto,"Organic Espresso Bel Canto",,,,,6661851513002,"Allegro Coffee","12 oz. bag",,,"Allegro Coffee - Organic Espresso Bel Canto",Medium,"Whole Bean","Latin America, Ethiopia","Cocoa, Berry",Blend,Weekdays,/pages/allegro-coffee,1868,new,,,,,,,,,,,
allegro-coffee-organic-espresso-bel-canto,,"Default Title",,,sw0065,,,,,,,,,,,,,,,,,,,,,,,,,,
allegro-coffee-organic-french-roast-1,"Organic French Roast",,,,,6661859901610,"Allegro Coffee","12 oz. bag",,,"Allegro Coffee - Organic French Roast",Dark,"Whole Bean","Latin America","Sweet, Smooth, Smoky",Blend,Weekdays,/pages/allegro-coffee,1868,new,,,,,,,,,,,
allegro-coffee-organic-french-roast-1,,"Default Title",,,sw0066,,,,,,,,,,,,,,,,,,,,,,,,,,
allegro-coffee-sumatra,Sumatra,,,,,6661862949034,"Allegro Coffee","12 oz. bag",,,"Allegro Coffee - Sumatra",Medium,Ground,Sumatra,"Herbal, Fragrant, Earthy",Indonesia,Weekdays,/pages/allegro-coffee,1868,new,,,,,,,,,,,
allegro-coffee-sumatra,,"Default Title",,,sw0067,,,,,,,,,,,,,,,,,,,,,,,,,,
gift-cards-from-swiss-water,"Give The Gift of Delicious Decaf",,,,,6669965492394,"Swiss Water","Gift Card",,"Send a gift of the best in decaffeinated coffee. When you see the Swiss Water® name, it means your favorite roaster offers 100% chemical-free decaffeinated coffee.",,,,,,,,,,,,,,,,,,,,,
gift-cards-from-swiss-water,,$20.00,,,sw0001a,,,,,,,,,,,,,,,,,,,,,,,,,,
gift-cards-from-swiss-water,,$50.00,,,sw0001b,,,,,,,,,,,,,,,,,,,,,,,,,,
gift-cards-from-swiss-water,,$100.00,,,sw0001c,,,,,,,,,,,,,,,,,,,,,,,,,,
coava-instant-las-capucas,"Instant Las Capucas",,,,,6700778193066,"Coava Coffee Roasters","6 servings",,,"Coava - Instant Las Capucas",Medium,Instant/on-the-go,"San Pedro de Copán","Red Currant, Brandy, Baker's Chocolate",Honduras,"Monday, Thursday",/pages/coava-coffee-roasters,1868,new,,"[""Organic""]",false,"1,600-1,650 MASL","Caturra, Pacas",,,,,,
coava-instant-las-capucas,,"Default Title",,,sw0068,,,,,,,,,,,,,,,,,,,,,,,,,,
arcade-coffee-roasters-la-bendicion,"La Bendicion",,,,,6724971659434,"Arcade Coffee Roasters","12 oz. bag",,"This decaffeinated offering by California's Arcade Coffee Roasters comes from the Cuilco region of Guatemala, where coffee farmer Doña Luz Audeli Villatoro has worked the lands on La Bendición her whole life, after inheriting the farm from her father. You'll love this coffee’s caramel and almond-noted sweetness so much, you won't miss the caffeine.","Arcade Coffee Roasters - La Bendicion",Medium,"Whole Bean",Cuilco,"White Chocolate, Caramel, Almond",Guatemala,Tuesday,/pages/arcade-coffee-roasters,1868,new,Colombia,,,"1,559 MASL","Bourbon, Caturra",,,,,,
arcade-coffee-roasters-la-bendicion,,"Default Title",,,sw0069,,,,,,,,,,,,,,,,,,,,,,,,,,
kuma-coffee-colombia-excelso,"Colombia Excelso",,,,,6887109886122,"Kuma Coffee","12 oz. bag",,,"Kuma Coffee - Colombia Excelso",Medium,"Whole Bean",Tolima,"Praline, Milk Chocolate, Pomelo",Colombia,Weekdays,/pages/kuma-coffee,1868,new,,,,"1,600-2,000 MASL","Caturra, Castillo, Colombia",,,,,,
kuma-coffee-colombia-excelso,,"Default Title",,,sw0051,,,,,,,,,,,,,,,,,,,,,,,,,,
coava-coffee-colombia-asprotiman,"Colombia AsproTimanà",,,,,6971069333674,"Coava Coffee Roasters","10.5 oz. bag",,"Our partners at Coava Coffee are proud to maintain a relationship with innovative fourth-generation Colombian farmer Robinson Figueroa, General Manager of the ASPROTimaná Cooperative in Huila. The cooperative originally came together out of a shared vision of socioeconomic stability for coffee farming families. It has since grown to include over 850 members from 22 villages around Timaná, with more joining every year. This coffee is made up of Caturra and Bourbon varieties grown between 1400-1700 meters, and features rich notes of chocolate mousse, dried blueberry, and fuji apple.","Coava - Colombia AsproTimanà",Medium,"Whole Bean","Huila, Timaná","Chocolate Mousse, Dried Blueberry, & Crisp Fuji Apple",Colombia,"Monday, Thursday",/pages/coava-coffee-roasters,1868,new,,,,"1,400-1,700 MASL","Caturra, Bourbon",,,,,,
coava-coffee-colombia-asprotiman,,"Default Title",,,sw0070,,,,,,,,,,,,,,,,,,,,,090122,,,,,
kuma-coffee-burundi-rotheca-project,"Burundi Rotheca Project",,,,,6974074388650,"Kuma Coffee","12 oz. bag",,,"Kuma Coffee - Burundi Rotheca Project",Medium,"Whole Bean",Kirundo,"Nectarine, Plum, Bittersweet Chocolate",Burundi,Weekdays,/pages/kuma-coffee,1868,new,,[],false,"1,500-1,800 MASL",Bourbon,,,,,,
kuma-coffee-burundi-rotheca-project,,"Default Title",,,sw0071,,,,,,,,,,,,,,,,,,,,,,,,,,
homebody-coffee-co-front-porch-roast,"Front Porch Roast",,,,,7035193458858,"Homebody Coffee Co.","16 oz. bag",,,,"Medium Dark","Whole Bean",,"Syrup, Chocolate, Butter",Blend,Weekdays,/pages/homebody-coffee-co,1868,new,,,,,,,,,,,
homebody-coffee-co-front-porch-roast,,"Default Title",,,sw0072,,,,,,,,,,,,,,,,,,,,,,,,,,
java-pura-costa-rica,"Costa Rica",,,,,7035208728746,"Java Pura Coffee Roasters","12 oz. bag",true,,,Medium,"Whole Bean",,"Fruit, Chocolate, Spice","Costa Rica",Weekdays,/pages/java-pura-coffee-roasters,1868,new,,,false,"1200-1800 MASL",,,,,,,
java-pura-costa-rica,,"Default Title",,,sw0073,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico-bella-vista,"Mexico Bella Vista",,,,,7036875571370,"Andytown Coffee Roasters","8 oz. bag",,,,Medium,"Whole Bean","Bella Vista, Chiapas","Rainier Cherry, Alfajores, and Spiced Cocoa",Mexico,"Tuesday, Friday",/pages/andytown-coffee-roasters,1868,new,,,,"1700 MASL","Bourbon, Caturra, and Catimor",,,,,,
mexico-bella-vista,,"Default Title",,,sw0074,,,,,,,,,,,,,,,,,,,,,,,,,,
talking-crow-guatemala-marilandia,"Guatemala Marilandia",,,,,7048046149802,"Talking Crow Coffee Roasters","12 oz. bag",,"This organic selection from Washington State's Talking Crow Coffee Roasters, who specialize in beautiful decaf coffees, comes from Finca El Limonar in Huehuetenango, Guatemala.","Talking Crow Coffee Roasters - Guatemala Marilandia",Medium,"Whole Bean",Huehuetenango,"Caramel, Dark Chocolate, Citrus, Peach",Guatemala,Tuesday,/pages/talking-crow-coffee-roasters,1868,new,,,,"1980 MASL","Bourbon, Caturra",,,,,,
talking-crow-guatemala-marilandia,,"Default Title",,,sw0075,,,,,,,,,,,,,,,,,,,,,,,,,,
instant-colombia-asprotimana,"Instant Colombia AsproTimanà",,,,,7062507520170,"Coava Coffee Roasters","6 servings",,,"Coava - Instant Las Capucas",Medium,Instant/on-the-go,"Huila, Timaná","Chocolate Mousse, Dried Blueberry, & Crisp Fuji Apple",Colombia,"Monday, Thursday",/pages/coava-coffee-roasters,1868,new,,,,"1,400-1,700 MASL","Caturra, Bourbon",,,,,,
instant-colombia-asprotimana,,"Default Title",,,sw0076,,,,,,,,,,,,,,,,,,,,,,,,,,
arcade-lomas-altas-guatemala,"Lomas Altas Guatemala",,,,,7062519054506,"Arcade Coffee Roasters","12 oz. bag",,,"Arcade Coffee Roasters - Lomas Altas Guatemala",Medium,"Whole Bean","New Oriente","Dried Apple, Dark Chocolate, Toffee",Guatemala,Tuesday,/pages/arcade-coffee-roasters,1868,new,Colombia,,,"1800 MASL","Caturra, Pache, San Ramon",,,,,,
arcade-lomas-altas-guatemala,,"Default Title",,,sw0077,,,,,,,,,,,,,,,,,,,,,,,,,,
kuma-coffee-peru-cajamarca,"Peru Cajamarca",,,,,7268355866794,"Kuma Coffee","12 oz. bag",,,"Kuma Coffee - Peru Cajamarca",Medium,"Whole Bean",Cajamarca,"Praline, Milk Chocolate, Cherry Cola",Peru,Weekdays,/pages/kuma-coffee,1868,new,,,,"1,500-1,800 MASL",,,,,,,
kuma-coffee-peru-cajamarca,,"Default Title",,,sw0078,,,,,,,,,,,,,,,,,,,,,,,,,,
burundi-bebop,"Burundi Bebop",,,,,7308572065962,"Three Keys Coffee","12 oz. bag",,,,Medium,"Whole Bean",Kirundo,"Brown Sugar, Black Tea, Pomegranate",Burundi,"Tuesday & Saturday",/pages/three-keys-coffee,1868,new,,,,"1,500 – 1,800 MASL",Bourbon,,,,,,
burundi-bebop,,"Default Title",,,sw0079,,,,,,,,,,,,,,,,,,,,,,,,,,
savorista-yesso-espresso,"Yesso! Espresso",,,,,7308583207082,Savorista,"10 oz. bag",true,,"Savorista - Yesso! Espresso","Medium Dark","Whole Bean","South America, East Africa","Dark Chocolate, Strawberries, Dried Cherries",Blend,"Tuesday and Friday",/pages/savorista,1868,new,,,false,"1600-2100 MASL","Castillo, Heirloom",,,,,,
savorista-yesso-espresso,,"Default Title",,,sw0080,,,,,,,,,,,,,,,,,,,,,,,,,,
costa-rica-tierras-ticas,"Costa Rica Tierras Ticas",,,,,7424200835242,"Kuma Coffee","12 oz. bag",,,"Kuma Coffee - Costa Rica Tierras Ticas",Medium,"Whole Bean","San Pedro","Clementine, Pecan, Brown Sugar","Costa Rica",Weekdays,/pages/kuma-coffee,1868,new,,,,"1,400 MASL",,,,,,,
costa-rica-tierras-ticas,,"Default Title",,,sw0082,,,,,,,,,,,,,,,,,,,,,,,,,,
talking-crow-papua-new-guinea,"Papua New Guinea",,,,,7558197117098,"Talking Crow Coffee Roasters","12 oz. bag",,,"Talking Crow Coffee Roasters - Papua New Guinea",Medium,"Whole Bean","Eastern Highlands","Sweet Apricot, Caramel, Cocoa","Papua New Guinea",Tuesday,/pages/talking-crow-coffee-roasters,1868,new,,"[""Organic"",""Fair Trade""]",,"2000-5000 MASL","Bourbon, Typica",,,,,,
talking-crow-papua-new-guinea,,"Default Title",,,sw0083,,,,,,,,,,,,,,,,,,,,,,,,,,
panama-poinciana,"Panama Poinciana",,,,,7583389221034,"Three Keys Coffee","12 oz. bag",,,,Light,"Whole Bean","Chiriquí Province","Cinnamon, Black Tea, Blueberry, Mango, Plum",Panama,"Tuesday & Saturday",/pages/three-keys-coffee,1868,new,,,,"1,200 – 1,800 MASL","Catuaí, Caturra, Geisha, Typica",,,,,,
panama-poinciana,,"Default Title",,,sw0084,,,,,,,,,,,,,,,,,,,,,,,,,,
guatemala-ghost-note,"Guatemala Ghost Note",,,,,7583433425066,"Three Keys Coffee","12 oz. bag",,,,Medium,"Whole Bean",Atitlan,"Citrus, cocoa, slight floral",Guatemala,"Tuesday & Saturday",/pages/three-keys-coffee,1868,new,,,,"1,320 – 1,600 MASL",,,,,,,
guatemala-ghost-note,,"Default Title",,,sw0085,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-spruce-thai-organic,"Thai Organic",,,,,7588981637290,"Blue Spruce Decaf Coffee Co.","12 oz. bag",,,"Blue Spruce Decaf Coffee Co. - Thai Organic",Dark,"Whole Bean","Chiang Mai","Chocolate, Earthy, Spicy",Thailand,Weekdays,/pages/blue-spruce-decaf-coffee-co,1868,new,,"[""Organic""]",false,"1100 MASL",,,,,,,
blue-spruce-thai-organic,,"Default Title",,,sw0086,,,,,,,,,,,,,,,,,,,,,,,,,,
french-decaf,"French Decaf",,,,,7589892948138,"Roast House Coffee","12 oz. bag",true,,,Dark,"Whole Bean",,"Toasted Caramel, 70% Cacao, Ripe Plum",Blend,Weekdays,/pages/roast-house-coffee,1868,new,,"[""Organic""]",false,,,,,,,,
french-decaf,,"Default Title",,,sw0088,,,,,,,,,,,,,,,,,,,,,,,,,,
power-nap-instant,"Power Nap Instant",,,,,7589894586538,"Roast House Coffee","6 servings",true,,,Medium,Instant/on-the-go,Cajamarca,"Baking Spices, Brownies, Sweet Plum",Peru,Weekdays,/pages/roast-house-coffee,1868,new,,,false,,,,,,,,
power-nap-instant,,"Default Title",,,sw0087,,,,,,,,,,,,,,,,,,,,,,,,,,
peru-tapir-red-honey,"Peru Tapir Red Honey",,,,,7594100031658,"Kuma Coffee","12 oz. bag",,,"Kuma Coffee - Costa Rica Tierras Ticas",Medium,"Whole Bean",Cajamarca," Raspberry, Praline, Cherry Cola",Peru,Weekdays,/pages/kuma-coffee,1868,new,,"[""Fair Trade"",""Organic""]",,"1,350-1,890 MASL",,,,,,,
peru-tapir-red-honey,,"Default Title",,,sw0089,,,,,,,,,,,,,,,,,,,,,,,,,,
talking-crow-brazil-mogiana,"Brazil Mogiana",,,,,7663329607850,"Talking Crow Coffee Roasters","12 oz. bag",,,"Talking Crow Coffee Roasters - Brazil Mogiana",Medium,"Whole Bean",,"Caramel, Nut, Chocolate",Brazil,Tuesday,/pages/talking-crow-coffee-roasters,1868,new,,[],,"800-1350 MASL","Mundo Novo, Catuai, Icatu, Acaia, Tupi",,,,,,
talking-crow-brazil-mogiana,,"Default Title",,,sw0090,,,,,,,,,,,,,,,,,,,,,,,,,,
barbell-coffee-rest-day-decaf,"Rest Day Decaf",,,,,7669927346346,"Barbell Coffee Co.","12 oz. bag",,,"Barbell Coffee - Rest Day Decaf",Medium,"Whole Bean",,"Graham Cracker and Citric Acidity",Peru,"Monday, Thursday",/pages/barbell-coffee-co,1868,new,,[],,"1600-1900 MASL",,,,,,,
barbell-coffee-rest-day-decaf,,"Default Title",,,sw0091,,,,,,,,,,,,,,,,,,,,,,,,,,
cafe-grumpy-colombia,Colombia,,,,,7676478587050,"Cafe Grumpy","12 oz. bag",true,"Café Grumpy's latest decaffeinated selection is a single origin from Armenia, Colombia, with notes of milk chocolate, lemon and brown sugar.","Cafe Grumpy - Colombia",Medium,"Whole Bean",Cundinamarca,"Orange, Caramel, Hazelnut, Chocolate",Colombia,Weekdays,/pages/cafe-grumpy,1868,new,,"[""Kosher""]",,,,,,,,,
cafe-grumpy-colombia,,"Default Title",,,sw0039,,,,,,,,,,,,,,,,,,,,,,,,,,
kick-back-zzs,"Kick Back ZZs",,,,,7697583014058,"Barista Alley","12 oz. bag",true,,,Medium,"Whole Bean","Costa Rica, Honduras, and Guatemala","Milk Chocolate, Brown Sugar, Balanced",Blend,"Monday and Wednesday",/pages/barista-alley,1868,new,"El Salvador and Ethiopia",[],false,"1400-2000 MASL",,,,,,,
kick-back-zzs,,"Default Title",,,sw0092,,,,,,,,,,,,,,,,,,,,,,,,,,
kenyan-sunset,"Kenyan Sunset",,,,,7704273682602,Savorista,"10 oz. bag",,,"Savorista - Yesso! Espresso",Light,"Whole Bean","Mount Kenya Region","Tangerine, Cardamom, Maple Syrup, and Blackberry",Kenya,"Tuesday and Friday",/pages/savorista,1868,new,,[],false,"1600-2200 MASL","SL28, SL34, Ruiru 11, Batian",,,,,,
kenyan-sunset,,"Default Title",,,sw0094,,,,,,,,,,,,,,,,,,,,,,,,,,
kuma-ethiopia-asikana-natural,"Ethiopia Asikana Natural",,,,,7704788074666,"Kuma Coffee","12 oz. bag",,,"Kuma Coffee - Ethiopia Asikana Natural",Medium,"Whole Bean","Buri Gidami","Nectarine, Black Tea, Almond",Ethiopia,Weekdays,/pages/kuma-coffee,1868,new,,"[""Smithsonian Bird-Friendly®""]",,"1,700 MASL","Ethiopian Arabica Heirloom Cultivars",,,,,,
kuma-ethiopia-asikana-natural,,"Default Title",,,sw0093,,,,,,,,,,,,,,,,,,,,,,,,,,
rest-day-decaf-2,"Rest Day Decaf",,,,,7704790532266,"Barbell Coffee Co.","12 oz. bag",,,"Barbell Coffee - Rest Day Decaf",Medium,"Whole Bean",Sumatra,"Floral with Citric Acidity",Indonesia,"Monday, Thursday",/pages/barbell-coffee-co,1868,new,,[],false,"1,350-1,650 MASL","Ateng, Bor Bor, Catimor, Timor",,,,,,
rest-day-decaf-2,,"Default Title",,,sw0091b,,,,,,,,,,,,,,,,,,,,,,,,,,
verena-st-sunday-drive-2lb,"Sunday Drive - 2lb",,,,,7706261323946,"Verena Street","2 lb bag",true,"Verena Street's Sunday Drive will remind you of leisurely drives with no urgency or set destinations. Let its smooth flavor carry you away. *Note* This decaf comes only as ground coffee.","Verena Street - Sunday Drive",Medium,"Whole Bean",,"Rich, Full Body, Smooth",Colombia,Weekdays,/pages/verena-street,1868,new,Colombia,"[""Kosher"",""Rainforest Alliance""]",false,,,,,,,,
verena-st-sunday-drive-2lb,,"Default Title",,,sw0031b,,,,,,,,,,,,,,,,,,,,,,,,,,
doma-coffee-jackie-oh,"Jackie Oh",,,,,7728043458730,DOMA,"12 oz. bag",,,,Medium,"Whole Bean","Pitalita, Huila","Lemon, Dried Fruit, Chocolate",Colombia,Friday,/pages/doma-coffee-roasting-company,1868,new,"El Salvador and Ethiopia","[""Organic""]",false,"1,300-1,650 MASL","Caturra, Castillo and Typica",,,,,,
doma-coffee-jackie-oh,,"Default Title",,,sw0100,,,,,,,,,,,,,,,,,,,,,,,,,,
andytown-honduras,Honduras,,,,,7728045686954,"Andytown Coffee Roasters","8 oz. bag",,,,Medium,"Whole Bean",,"Pear, Chocolate Truffle, & Sweet Bread Pastry",Honduras,"Tuesday, Friday",/pages/andytown-coffee-roasters,1868,new,,[],false,"1100-1500 MASL","Caturra, Catuai, Parainema, Bourbon, & Pacamara",,,,,,
andytown-honduras,,"Default Title",,,sw0101,,,,,,,,,,,,,,,,,,,,,,,,,,
el-diamante,"El Diamante",,,,,7769958514858,"Arcade Coffee Roasters","12 oz. bag",,,"Arcade Coffee Roasters - Lomas Altas Guatemala",Medium,"Whole Bean",Huehuetenango,"Brown Sugar, Amaretto, Milk Chocolate",Guatemala,Tuesday,/pages/arcade-coffee-roasters,1868,new,Colombia,[],false,"1750 MASL","Caturra, Bourbon",,,,,,
el-diamante,,"Default Title",,,sw0102,,,,,,,,,,,,,,,,,,,,,,,,,,
three-key-bourbon-de-kilimanjaro,"Bourbon de Kilimanjaro",,,,,7782833225898,"Three Keys Coffee","12 oz. bag",,,,Medium,"Whole Bean","Mount Kilimanjaro","Cinnamon, Milk Chocolate, Stone Fruit",Tanzania,"Tuesday & Saturday",/pages/three-keys-coffee,1868,new,,"[""Rainforest Alliance""]",false,"2,000 – 2,500 MASL",Bourbon,,,,,,
three-key-bourbon-de-kilimanjaro,,12oz,,,sw0103-12,,,,,,,,,,,,,,,,,,,,,,,,,,
three-key-bourbon-de-kilimanjaro,,3lbs,,,sw0103-3,,,,,,,,,,,,,,,,,,,,,,,,,,
cafe-grumpy-costa-rica,"Costa Rica",,,,,7784848687274,"Cafe Grumpy","12 oz. bag",,,"Cafe Grumpy - Costa Rica",Medium,"Whole Bean",,"Blackberry Jam, Hazelnut, Dark Chocolate","Costa Rica",Weekdays,/pages/cafe-grumpy,1868,new,,"[""Kosher"",""Organic""]",false,,,,,,,,
cafe-grumpy-costa-rica,,"Default Title",,,sw0104,,,,,,,,,,,,,,,,,,,,,,,,,,
three-keys-honduras-smooth-horn-blues,"Honduras Smooth Horn Blues",,,,,7795749191850,"Three Keys Coffee","12 oz. bag",,,,Light,"Whole Bean",Capucas,"Honey, Brown Sugar, and Toasted Almond",Honduras,"Tuesday & Saturday",/pages/three-keys-coffee,1868,new,,"[""Fair Trade""]",false,"1,450 MASL","Catui, Caturra, Icatu, Pacamara, Pacas",,,,,,
three-keys-honduras-smooth-horn-blues,,"Default Title",,,sw0105,,,,,,,,,,,,,,,,,,,,,,,,,,
swiss-water-gift-card,"Give The Gift of Delicious Decaf",,,,,7810963407018,"Swiss Water","Gift Card",true,,,,,,,,,,,,,,,,,,,true,,,
swiss-water-gift-card,,$20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swiss-water-gift-card,,$50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swiss-water-gift-card,,$100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prepaid-12m-curated-subscription-gift,"Prepaid 12m Curated Subscription Gift",,,,,7810964226218,Blend,"Subscription Pack",,"Receive a bag of fresh coffee at a frequency that works best for you.
Handpicked by Swiss Water. ",,,,,,,,https://www.swisswater.com/pages/coffee-decaffeination-process,,,,,,,,,,,,,
prepaid-12m-curated-subscription-gift,,"Whole bean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curated-subscription-gift,"Curated Subscription Gift",,,,,7811387228330,"Swiss Water","Gift Card",,,,,,,,,,,,,,,,,,,,,1,6127545516202,
curated-subscription-gift,,"Whole bean / 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curated-subscription-gift,,"Whole bean / 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curated-subscription-gift,,"Whole bean / 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cafe-grumpy-costa-rica-instant-1,"Costa Rica Instant",,,,,7822516256938,"Cafe Grumpy","6 servings",,,"Cafe Grumpy - Costa Rica",Medium,Instant/on-the-go,,"Blackberry Jam, Hazelnut, Dark Chocolate","Costa Rica",Weekdays,/pages/cafe-grumpy,1868,new,,"[""Kosher""]",false,,,,,,,,
cafe-grumpy-costa-rica-instant-1,,"Default Title",,,sw0106,,,,,,,,,,,,,,,,,,,,,,,,,,
ethiopia-ethereal,"Ethiopia Ethereal",,,,,7878822199466,"Three Keys Coffee","12 oz. bag",,,,Medium,"Whole Bean",Gidami,"Lemon-Lime, Black Tea, Nectarine",Ethiopia,"Tuesday & Saturday",/pages/three-keys-coffee,1868,new,,"[""Smithsonian Bird-Friendly®""]",,"1,700 MASL","Ethiopian Heirloom Varieties",,,,,,
ethiopia-ethereal,,"Default Title",,,sw0107,,,,,,,,,,,,,,,,,,,,,,,,,,
bridge-city-coffee-colombia,Colombia,,,,,7889450664106,"Bridge City Coffee","12 oz. bag",,,"Bridge City Coffee - Colombia","Light Medium","Whole Bean",Risaralda,"Citrus, Sweet and Milk Chocolate",Colombia,"Wednesday & Friday",/pages/bridge-city-coffee,1868,new,,[],,"1,500 MASL","Colombia, Castillo, Caturra",,,,,,
bridge-city-coffee-colombia,,"Default Title",,,sw0108,,,,,,,,,,,,,,,,,,,,,,,,,,
bridge-city-coffee-peru,Peru,,,,,7889451942058,"Bridge City Coffee","12 oz. bag",,,"Bridge City Coffee - Peru",Medium,"Whole Bean",Chanchamayo,"Chocolate Nibs, Brown Sugar, and Mellow Vibes",Peru,"Wednesday & Friday",/pages/bridge-city-coffee,1868,new,,"[""Organic"",""Fair Trade""]",,"1,100 - 1,800 MASL","Colombia, Castillo, Caturra",,,,,,
bridge-city-coffee-peru,,"Default Title",,,sw0109,,,,,,,,,,,,,,,,,,,,,,,,,,
equator-coffees-guatemala-flor-del-cafe-organic,"Guatemala Flor Del Cafe Organic",,,,,7889452400810,"Equator Coffees","12 oz. bag",,,"Equator Coffees - Guatemala Flor Del Cafe Organic",Light,"Whole Bean","Agua Dulce","Malt Chocolate, Graham Cracker, Apple Pie",Guatemala,"Wednesday & Friday",/pages/equator-coffees,1868,new,,"[""Organic""]",,"1,200 - 1,750 MASL","Marselleza, Catuaí, Bourbon, Caturra",,,,,,
equator-coffees-guatemala-flor-del-cafe-organic,,"Default Title",,,sw0110,,,,,,,,,,,,,,,,,,,,,,,,,,
three-keys-brazil-bossa-nova,"Brazil Bossa Nova",,,,,7904508739754,"Three Keys Coffee","12 oz. bag",,,,Dark,"Whole Bean",Cerrado,"Roasted Hazelnut, Dark Chocolate, Orange, Blueberry",Brazil,"Tuesday & Saturday",/pages/three-keys-coffee,1868,new,,"[""Rainforest Alliance""]",,"1,000-1,200 MASL",Various,,,,,,
three-keys-brazil-bossa-nova,,"Default Title",,,sw0112,,,,,,,,,,,,,,,,,,,,,,,,,,
